mine_id,mine_name,location,state,displacement,strain,pore_pressure,rainfall,temperature,dem_slope,crack_score,timestamp
1,Jharia Coalfield,Dhanbad Jharkhand,Jharkhand,8.5,285,75,45,35,65,7.2,2024-01-15 10:30:00
2,Talcher Coalfield,Angul Odisha,Odisha,4.2,180,55,25,32,45,4.1,2024-01-15 10:30:00
3,Korba Coalfield,Korba Chhattisgarh,Chhattisgarh,9.1,320,82,52,38,68,8.5,2024-01-15 10:30:00
4,Raniganj Coalfield,Paschim Bardhaman West Bengal,West Bengal,2.1,120,35,15,28,35,2.3,2024-01-15 10:30:00
5,Singrauli Coalfield,Singrauli Madhya Pradesh,Madhya Pradesh,5.8,195,60,30,33,50,5.2,2024-01-15 10:30:00
6,Bellary Iron Ore,Bellary Karnataka,Karnataka,6.2,210,65,28,36,55,6.1,2024-01-15 10:30:00
7,Bailadila Iron Ore,Dantewada Chhattisgarh,Chhattisgarh,8.8,295,78,48,37,62,7.8,2024-01-15 10:30:00
8,Goa Iron Ore,South Goa Goa,Goa,1.8,95,25,12,26,30,1.9,2024-01-15 10:30:00
9,Noamundi Iron Ore,Noamundi Jharkhand,Jharkhand,3.5,150,40,18,29,38,3.2,2024-01-15 10:30:00
10,Bokaro Steel Plant,Bokaro Jharkhand,Jharkhand,4.8,175,50,22,31,42,4.5,2024-01-15 10:30:00









